Unnamed: 0	mapping1	mapping2	id	label	language	LLama3 zero-shot (Sem Equiv)	LLama3 zero-shot (Ex. Same Content)	LLama3 zero-shot (Paraph)	Zero_Shot_Majority_vote	Zero_Shot_Paraph_AND_Same_Content	Zero_Shot_Paraph_AND_Sem_Equiv	Zero_Shot_ALL_THREE
14029	backtransl_set1_11110_2	swap_04013_1	14030	1	en	1	1	1	1	1	1	1
14030	backtransl_set1_12406_2	swap_27471_2	14031	0	en	0	0	1	0	0	0	0
14031	swap_09715_1	backtransl_set3_02537_2	14032	0	en	0	0	0	0	0	0	0
14032	swap_33622_1	backtransl_set1_01277_2	14033	1	en	1	1	1	1	1	1	1
14033	backtransl_set1_09647_2	backtransl_set1_10480_2	14034	0	en	1	1	1	1	1	1	1
14034	swap_09989_1	backtransl_set1_00653_2	14035	0	en	0	0	0	0	0	0	0
14035	swap_26790_2	backtransl_set2_02499_2	14036	1	en	1	1	1	1	1	1	1
14036	backtransl_set3_02617_2	swap_43673_2	14037	0	en	0	0	1	0	0	0	0
14037	swap_30055_1	backtransl_set1_13408_2	14038	1	en	1	1	1	1	1	1	1
14038	backtransl_set2_01037_2	swap_17759_2	14039	0	en	0	0	0	0	0	0	0
14039	swap_03453_1	backtransl_set1_02753_2	14040	1	en	0	0	0	0	0	0	0
14040	swap_44565_1	backtransl_set1_13877_2	14041	0	en	0	0	0	0	0	0	0
14041	backtransl_set1_05353_2	swap_12164_2	14042	1	en	1	1	1	1	1	1	1
14042	backtransl_set1_09504_2	swap_25498_1	14043	1	en	0	1	1	1	1	0	0
14043	backtransl_set1_08263_2	swap_14977_2	14044	0	en	1	0	1	1	0	1	0
14044	backtransl_set3_01384_2	swap_24735_1	14045	0	en	0	0	1	0	0	0	0
14045	backtransl_set1_05564_2	swap_11980_1	14046	1	en	1	1	1	1	1	1	1
14046	swap_47905_1	backtransl_set2_03691_2	14047	1	en	0	0	0	0	0	0	0
14047	backtransl_set1_00338_2	swap_36147_2	14048	0	en	0	0	0	0	0	0	0
14048	swap_09168_1	backtransl_set1_15183_2	14049	1	en	1	1	1	1	1	1	1
14049	backtransl_set2_01792_2	backtransl_set2_02861_2	14050	0	en	0	0	0	0	0	0	0
14050	swap_38967_2	backtransl_set2_01042_2	14051	1	en	1	1	1	1	1	1	1
14051	backtransl_set2_00271_2	swap_13617_2	14052	0	en	0	0	0	0	0	0	0
14052	swap_39235_2	backtransl_set3_02968_2	14053	1	en	0	0	0	0	0	0	0
14053	backtransl_set2_05331_2	backtransl_set2_01917_2	14054	0	en	0	0	0	0	0	0	0
14054	swap_30347_2	backtransl_set2_02627_2	14055	0	en	0	0	1	0	0	0	0
14055	backtransl_set1_01489_2	backtransl_set1_11551_2	14056	0	en	0	0	0	0	0	0	0
14056	backtransl_set2_02009_2	swap_42993_1	14057	0	en	1	1	1	1	1	1	1
14057	swap_25595_2	backtransl_set1_03604_2	14058	1	en	0	1	1	1	1	0	0
14058	swap_29811_2	backtransl_set2_01913_2	14059	1	en	1	1	1	1	1	1	1
14059	swap_39012_2	backtransl_set2_04680_2	14060	1	en	1	1	1	1	1	1	1
14060	backtransl_set1_03507_2	swap_19545_2	14061	0	en	1	1	1	1	1	1	1
14061	backtransl_set3_00298_2	swap_24137_1	14062	1	en	0	0	1	0	0	0	0
14062	swap_13568_1	backtransl_set1_06120_2	14063	1	en	1	1	1	1	1	1	1
14063	swap_32546_2	backtransl_set2_01979_2	14064	1	en	1	1	1	1	1	1	1
14064	backtransl_set3_04925_2	swap_21915_1	14065	0	en	0	0	0	0	0	0	0
14065	backtransl_set1_13049_2	swap_07162_2	14066	0	en	1	1	1	1	1	1	1
14066	swap_48733_1	backtransl_set1_08800_2	14067	1	en	0	0	1	0	0	0	0
14067	swap_33260_2	backtransl_set1_14774_2	14068	0	en	1	1	1	1	1	1	1
14068	swap_45530_1	backtransl_set1_00816_2	14069	0	en	0	0	0	0	0	0	0
14069	backtransl_set1_07389_2	backtransl_set1_16165_2	14070	0	en	0	0	0	0	0	0	0
14070	swap_49558_2	backtransl_set3_04350_2	14071	1	en	1	1	1	1	1	1	1
14071	backtransl_set1_16127_2	swap_18227_2	14072	0	en	0	0	0	0	0	0	0
14072	backtransl_set3_02462_2	swap_03922_2	14073	1	en	1	1	1	1	1	1	1
14073	swap_33849_2	backtransl_set2_01051_2	14074	1	en	1	1	1	1	1	1	1
14074	swap_25250_2	backtransl_set1_04801_2	14075	1	en	0	0	0	0	0	0	0
14075	backtransl_set1_12443_2	swap_10038_1	14076	1	en	1	1	1	1	1	1	1
14076	backtransl_set2_01024_2	backtransl_set2_03550_2	14077	0	en	0	0	0	0	0	0	0
14077	swap_22978_2	backtransl_set1_05510_2	14078	0	en	0	0	0	0	0	0	0
14078	backtransl_set1_06042_2	swap_14729_1	14079	1	en	1	1	1	1	1	1	1
14079	swap_33158_1	backtransl_set3_01668_2	14080	1	en	1	1	1	1	1	1	1
14080	backtransl_set1_00339_2	backtransl_set1_14850_2	14081	0	en	1	1	1	1	1	1	1
14081	backtransl_set1_01161_2	swap_19132_1	14082	1	en	1	1	1	1	1	1	1
14082	swap_10720_1	backtransl_set1_05459_2	14083	1	en	1	1	1	1	1	1	1
14083	backtransl_set3_00011_2	swap_41874_2	14084	0	en	1	1	1	1	1	1	1
14084	backtransl_set2_02321_2	swap_23018_1	14085	1	en	1	1	1	1	1	1	1
14085	backtransl_set1_06656_2	swap_04256_1	14086	1	en	1	1	1	1	1	1	1
14086	backtransl_set1_14990_2	backtransl_set1_12552_2	14087	0	en	0	0	0	0	0	0	0
14087	swap_49030_2	backtransl_set1_00025_2	14088	0	en	1	1	1	1	1	1	1
14088	swap_06383_2	backtransl_set1_07177_2	14089	1	en	1	1	1	1	1	1	1
14089	backtransl_set3_02749_2	backtransl_set3_01349_2	14090	0	en	0	0	0	0	0	0	0
14090	swap_39480_2	backtransl_set1_05219_2	14091	1	en	1	0	1	1	0	1	0
14091	backtransl_set2_00753_2	swap_39689_1	14092	0	en	1	0	1	1	0	1	0
14092	swap_19961_1	backtransl_set2_04206_2	14093	1	en	0	0	0	0	0	0	0
14093	swap_11533_2	backtransl_set1_11301_2	14094	1	en	1	0	1	1	0	1	0
14094	backtransl_set1_12687_2	backtransl_set1_00965_2	14095	0	en	0	0	0	0	0	0	0
14095	backtransl_set1_09218_2	swap_26701_2	14096	1	en	1	1	1	1	1	1	1
14096	swap_00699_2	backtransl_set1_06606_2	14097	0	en	1	1	1	1	1	1	1
14097	swap_06003_2	backtransl_set3_02061_2	14098	0	en	1	0	1	1	0	1	0
14098	backtransl_set1_06099_2	swap_47068_1	14099	0	en	1	1	1	1	1	1	1
14099	backtransl_set1_09334_2	swap_42687_2	14100	0	en	0	0	0	0	0	0	0
14100	backtransl_set1_10331_2	swap_11028_2	14101	0	en	1	1	1	1	1	1	1
14101	backtransl_set2_03701_2	swap_20933_2	14102	1	en	1	1	1	1	1	1	1
14102	swap_34188_1	backtransl_set1_05144_2	14103	0	en	0	0	0	0	0	0	0
14103	backtransl_set2_04513_2	backtransl_set2_05228_2	14104	0	en	0	0	1	0	0	0	0
14104	swap_47501_2	backtransl_set2_03934_2	14105	1	en	1	1	1	1	1	1	1
14105	swap_20947_1	backtransl_set1_10721_2	14106	1	en	0	0	1	0	0	0	0
14106	backtransl_set3_01421_2	swap_15931_1	14107	0	en	0	0	0	0	0	0	0
14107	backtransl_set2_03521_2	swap_44232_1	14108	0	en	0	1	1	1	1	0	0
14108	backtransl_set3_03335_2	swap_12222_1	14109	0	en	1	1	1	1	1	1	1
14109	backtransl_set1_12556_2	swap_44987_1	14110	0	en	0	0	1	0	0	0	0
14110	swap_08178_1	backtransl_set1_06974_2	14111	0	en	0	0	1	0	0	0	0
14111	swap_17141_2	backtransl_set2_02304_2	14112	1	en	0	1	1	1	1	0	0
14112	backtransl_set1_10780_2	swap_46593_2	14113	1	en	1	1	1	1	1	1	1
14113	swap_47242_2	backtransl_set3_00587_2	14114	0	en	1	1	1	1	1	1	1
14114	backtransl_set1_04011_2	backtransl_set1_09901_2	14115	0	en	1	0	1	1	0	1	0
14115	swap_38432_1	backtransl_set1_14410_2	14116	0	en	0	0	0	0	0	0	0
14116	backtransl_set2_02816_2	backtransl_set2_02199_2	14117	0	en	0	0	1	0	0	0	0
14117	backtransl_set1_03121_2	backtransl_set1_09286_2	14118	0	en	0	0	1	0	0	0	0
14118	swap_11120_2	backtransl_set1_13731_2	14119	1	en	1	1	1	1	1	1	1
14119	backtransl_set1_04284_2	backtransl_set1_07576_2	14120	1	en	1	1	1	1	1	1	1
14120	backtransl_set1_13157_2	swap_11007_1	14121	1	en	1	1	1	1	1	1	1
14121	backtransl_set1_03007_2	swap_04906_2	14122	1	en	1	1	1	1	1	1	1
14122	backtransl_set2_04760_2	swap_35565_1	14123	1	en	0	0	1	0	0	0	0
14123	backtransl_set2_01750_2	swap_43646_1	14124	1	en	1	1	1	1	1	1	1
14124	backtransl_set1_05980_2	swap_22499_2	14125	1	en	1	1	1	1	1	1	1
14125	backtransl_set3_04252_2	swap_13119_1	14126	1	en	1	1	1	1	1	1	1
14126	backtransl_set3_04656_2	swap_29092_2	14127	0	en	1	1	1	1	1	1	1
14127	swap_44315_1	backtransl_set2_04301_2	14128	1	en	1	1	1	1	1	1	1
14128	backtransl_set1_13801_2	backtransl_set1_05191_2	14129	0	en	1	0	1	1	0	1	0
14129	backtransl_set2_03649_2	swap_27278_2	14130	1	en	1	1	1	1	1	1	1
14130	backtransl_set1_09833_2	backtransl_set1_15184_2	14131	0	en	0	0	1	0	0	0	0
14131	swap_30025_1	backtransl_set3_03274_2	14132	0	en	1	1	1	1	1	1	1
14132	swap_33272_2	backtransl_set1_05431_2	14133	1	en	0	0	1	0	0	0	0
14133	backtransl_set1_05624_2	swap_19865_1	14134	0	en	0	0	0	0	0	0	0
14134	backtransl_set3_00934_2	swap_20026_1	14135	0	en	1	1	1	1	1	1	1
14135	backtransl_set1_10595_2	backtransl_set1_10739_2	14136	0	en	0	0	1	0	0	0	0
14136	backtransl_set1_08448_2	swap_05712_1	14137	1	en	1	1	1	1	1	1	1
14137	swap_02171_2	backtransl_set3_04938_2	14138	1	en	0	0	0	0	0	0	0
14138	swap_37067_2	backtransl_set1_03082_2	14139	1	en	0	1	1	1	1	0	0
14139	backtransl_set1_05261_2	swap_32919_2	14140	0	en	0	0	0	0	0	0	0
14140	backtransl_set2_03944_2	backtransl_set2_00284_2	14141	0	en	1	1	1	1	1	1	1
14141	backtransl_set1_06542_2	backtransl_set1_15059_2	14142	0	en	0	0	0	0	0	0	0
14142	backtransl_set3_01463_2	backtransl_set3_00567_2	14143	0	en	0	0	1	0	0	0	0
14143	backtransl_set1_08712_2	backtransl_set1_15212_2	14144	0	en	0	1	1	1	1	0	0
14144	backtransl_set2_01643_2	swap_22113_1	14145	1	en	1	1	1	1	1	1	1
14145	swap_49711_1	backtransl_set1_05784_2	14146	1	en	1	1	1	1	1	1	1
14146	swap_04320_2	backtransl_set1_14601_2	14147	1	en	1	1	1	1	1	1	1
14147	backtransl_set3_04682_2	backtransl_set3_03975_2	14148	0	en	0	0	0	0	0	0	0
14148	swap_17761_2	backtransl_set1_11966_2	14149	1	en	1	1	1	1	1	1	1
14149	backtransl_set1_16016_2	swap_35957_1	14150	0	en	0	0	1	0	0	0	0
14150	backtransl_set2_04032_2	swap_49001_1	14151	0	en	1	0	1	1	0	1	0
14151	backtransl_set1_04058_2	swap_26478_1	14152	1	en	1	1	1	1	1	1	1
14152	backtransl_set3_02824_2	swap_31772_2	14153	0	en	0	0	1	0	0	0	0
14153	swap_25169_2	backtransl_set2_00483_2	14154	1	en	0	0	1	0	0	0	0
14154	backtransl_set3_03753_2	swap_44160_1	14155	0	en	1	1	1	1	1	1	1
14155	backtransl_set2_04761_2	swap_48483_2	14156	0	en	1	1	1	1	1	1	1
14156	backtransl_set1_05142_2	swap_30742_2	14157	0	en	1	1	1	1	1	1	1
14157	backtransl_set1_13755_2	backtransl_set1_11973_2	14158	0	en	0	0	0	0	0	0	0
14158	backtransl_set2_00692_2	backtransl_set2_00815_2	14159	1	en	1	0	0	0	0	0	0
14159	backtransl_set2_04467_2	backtransl_set2_00949_2	14160	0	en	0	0	1	0	0	0	0
14160	swap_30081_1	backtransl_set1_13566_2	14161	0	en	0	0	1	0	0	0	0
14161	swap_07841_1	backtransl_set1_06285_2	14162	0	en	0	0	0	0	0	0	0
14162	backtransl_set2_04690_2	backtransl_set2_04252_2	14163	0	en	0	1	1	1	1	0	0
14163	swap_40873_2	backtransl_set1_07335_2	14164	0	en	0	0	1	0	0	0	0
14164	swap_48826_1	backtransl_set1_14278_2	14165	1	en	1	1	1	1	1	1	1
14165	backtransl_set1_12880_2	backtransl_set1_00322_2	14166	1	en	1	1	1	1	1	1	1
14166	swap_42384_1	backtransl_set1_13367_2	14167	0	en	1	1	1	1	1	1	1
14167	backtransl_set3_03181_2	swap_29381_1	14168	0	en	0	0	1	0	0	0	0
14168	swap_14210_2	backtransl_set1_07040_2	14169	0	en	0	0	1	0	0	0	0
14169	swap_23508_1	backtransl_set1_03817_2	14170	1	en	1	1	1	1	1	1	1
14170	backtransl_set1_12010_2	backtransl_set1_09447_2	14171	0	en	1	0	1	1	0	1	0
14171	backtransl_set1_06641_2	swap_04991_2	14172	0	en	0	0	0	0	0	0	0
14172	swap_38578_2	backtransl_set3_04593_2	14173	0	en	1	1	1	1	1	1	1
14173	swap_08123_1	backtransl_set1_15032_2	14174	1	en	0	0	0	0	0	0	0
14174	backtransl_set3_01371_2	backtransl_set3_00119_2	14175	0	en	0	1	0	0	0	0	0
14175	backtransl_set1_02203_2	swap_42132_2	14176	1	en	1	0	1	1	0	1	0
14176	backtransl_set1_13453_2	swap_01456_2	14177	1	en	1	1	1	1	1	1	1
14177	backtransl_set1_14006_2	backtransl_set1_10947_2	14178	0	en	0	0	0	0	0	0	0
14178	swap_18646_2	backtransl_set2_01809_2	14179	1	en	1	1	1	1	1	1	1
14179	backtransl_set1_10675_2	swap_09834_2	14180	1	en	1	1	1	1	1	1	1
14180	swap_27988_2	backtransl_set1_07968_2	14181	0	en	0	0	0	0	0	0	0
14181	backtransl_set2_02986_2	swap_20691_2	14182	1	en	1	1	1	1	1	1	1
14182	backtransl_set1_03626_2	swap_01357_1	14183	0	en	1	1	1	1	1	1	1
14183	backtransl_set1_12097_2	swap_44446_2	14184	0	en	0	0	0	0	0	0	0
14184	backtransl_set1_02443_2	swap_25961_2	14185	1	en	0	0	1	0	0	0	0
14185	backtransl_set1_08129_2	backtransl_set1_01092_2	14186	1	en	0	0	1	0	0	0	0
14186	backtransl_set1_04257_2	swap_35167_1	14187	0	en	0	1	1	1	1	0	0
14187	backtransl_set1_08698_2	swap_05802_2	14188	0	en	0	0	1	0	0	0	0
14188	backtransl_set1_00390_2	swap_29135_2	14189	1	en	1	1	1	1	1	1	1
14189	backtransl_set2_01101_2	swap_37241_2	14190	0	en	1	1	1	1	1	1	1
14190	backtransl_set1_10916_2	swap_14902_2	14191	0	en	0	0	0	0	0	0	0
14191	backtransl_set1_04749_2	backtransl_set1_15252_2	14192	0	en	0	0	1	0	0	0	0
14192	backtransl_set1_06730_2	backtransl_set1_12743_2	14193	0	en	0	0	0	0	0	0	0
14193	swap_12402_2	backtransl_set2_03564_2	14194	1	en	0	0	0	0	0	0	0
14194	swap_15035_2	backtransl_set1_02055_2	14195	1	en	1	1	1	1	1	1	1
14195	backtransl_set3_00542_2	swap_21487_2	14196	1	en	1	1	1	1	1	1	1
14196	swap_12850_2	backtransl_set1_00899_2	14197	1	en	1	1	1	1	1	1	1
14197	backtransl_set2_04221_2	backtransl_set2_05250_2	14198	0	en	1	1	1	1	1	1	1
14198	swap_45482_2	backtransl_set1_12768_2	14199	0	en	0	1	0	0	0	0	0
14199	backtransl_set1_10213_2	swap_22530_2	14200	1	en	1	0	1	1	0	1	0
14200	swap_25320_1	backtransl_set1_08936_2	14201	1	en	1	0	1	1	0	1	0
14201	backtransl_set1_04115_2	swap_16833_2	14202	1	en	0	0	1	0	0	0	0
14202	swap_09490_1	backtransl_set1_01981_2	14203	0	en	0	0	0	0	0	0	0
14203	backtransl_set1_08702_2	swap_33463_2	14204	0	en	0	0	1	0	0	0	0
14204	swap_42501_2	backtransl_set3_05242_2	14205	1	en	0	0	0	0	0	0	0
14205	swap_34365_1	backtransl_set1_14958_2	14206	1	en	1	1	1	1	1	1	1
14206	backtransl_set1_14853_2	swap_41262_1	14207	0	en	1	1	1	1	1	1	1
14207	backtransl_set2_03085_2	backtransl_set2_02952_2	14208	0	en	0	0	0	0	0	0	0
14208	backtransl_set2_04101_2	swap_21458_1	14209	0	en	0	1	1	1	1	0	0
14209	backtransl_set1_06907_2	swap_05343_2	14210	0	en	0	0	1	0	0	0	0
14210	backtransl_set1_12278_2	swap_30143_1	14211	1	en	1	1	1	1	1	1	1
14211	backtransl_set3_00983_2	backtransl_set3_05186_2	14212	0	en	0	0	1	0	0	0	0
14212	backtransl_set2_01693_2	swap_04230_1	14213	1	en	1	1	1	1	1	1	1
14213	backtransl_set3_02914_2	swap_16134_2	14214	0	en	0	0	0	0	0	0	0
14214	swap_47779_2	backtransl_set3_03031_2	14215	1	en	1	0	1	1	0	1	0
14215	swap_17109_1	backtransl_set1_04156_2	14216	1	en	1	1	1	1	1	1	1
14216	swap_26861_1	backtransl_set2_02336_2	14217	0	en	0	0	0	0	0	0	0
14217	swap_46433_1	backtransl_set1_01486_2	14218	1	en	0	1	1	1	1	0	0
14218	backtransl_set1_08020_2	swap_13592_2	14219	1	en	1	1	1	1	1	1	1
14219	backtransl_set3_02197_2	swap_20096_1	14220	0	en	1	0	1	1	0	1	0
14220	swap_22495_1	backtransl_set1_02384_2	14221	1	en	1	0	1	1	0	1	0
14221	backtransl_set2_00142_2	backtransl_set2_00492_2	14222	0	en	1	1	1	1	1	1	1
14222	backtransl_set1_00703_2	backtransl_set1_03576_2	14223	0	en	0	0	0	0	0	0	0
14223	backtransl_set1_08902_2	swap_43896_1	14224	0	en	1	1	1	1	1	1	1
14224	swap_22282_1	backtransl_set1_02421_2	14225	1	en	1	1	1	1	1	1	1
14225	backtransl_set1_09208_2	backtransl_set1_04516_2	14226	0	en	0	1	1	1	1	0	0
14226	backtransl_set2_05279_2	backtransl_set2_05203_2	14227	0	en	0	0	1	0	0	0	0
14227	backtransl_set3_01567_2	backtransl_set3_04816_2	14228	1	en	1	1	1	1	1	1	1
14228	backtransl_set3_01837_2	backtransl_set3_03369_2	14229	0	en	1	1	1	1	1	1	1
14229	swap_29998_2	backtransl_set2_01777_2	14230	0	en	1	1	1	1	1	1	1
14230	backtransl_set2_03345_2	backtransl_set2_00810_2	14231	0	en	0	0	0	0	0	0	0
14231	swap_07480_1	backtransl_set1_07212_2	14232	1	en	1	0	1	1	0	1	0
14232	backtransl_set1_11444_2	swap_39488_1	14233	1	en	1	1	1	1	1	1	1
14233	swap_18702_2	backtransl_set1_14285_2	14234	1	en	1	1	1	1	1	1	1
14234	backtransl_set1_12814_2	backtransl_set1_01189_2	14235	0	en	0	0	0	0	0	0	0
14235	swap_44902_1	backtransl_set1_07585_2	14236	0	en	1	1	1	1	1	1	1
14236	swap_07397_1	backtransl_set1_03787_2	14237	0	en	0	0	0	0	0	0	0
14237	backtransl_set2_00924_2	swap_25077_1	14238	0	en	0	0	1	0	0	0	0
14238	swap_03169_1	backtransl_set3_01311_2	14239	0	en	1	1	1	1	1	1	1
14239	backtransl_set1_06716_2	swap_25911_1	14240	0	en	1	1	1	1	1	1	1
14240	backtransl_set2_04709_2	swap_27597_1	14241	0	en	1	1	1	1	1	1	1
14241	backtransl_set1_00069_2	swap_09050_1	14242	1	en	1	1	1	1	1	1	1
14242	swap_22664_2	backtransl_set1_11683_2	14243	0	en	0	1	1	1	1	0	0
14243	swap_11021_2	backtransl_set2_02677_2	14244	0	en	1	0	1	1	0	1	0
14244	swap_35376_1	backtransl_set1_06321_2	14245	1	en	0	0	0	0	0	0	0
14245	swap_00606_2	backtransl_set1_05652_2	14246	1	en	1	1	1	1	1	1	1
14246	backtransl_set1_13283_2	swap_22077_1	14247	0	en	1	1	1	1	1	1	1
14247	backtransl_set2_00306_2	swap_46994_1	14248	0	en	1	1	1	1	1	1	1
14248	backtransl_set1_11292_2	swap_36140_1	14249	1	en	1	1	1	1	1	1	1
14249	backtransl_set1_03648_2	swap_48092_1	14250	1	en	1	1	1	1	1	1	1
14250	backtransl_set1_02742_2	backtransl_set1_01972_2	14251	0	en	1	0	1	1	0	1	0
14251	swap_08123_1	backtransl_set1_15961_2	14252	1	en	0	0	1	0	0	0	0
14252	swap_31981_2	backtransl_set1_16018_2	14253	0	en	0	0	0	0	0	0	0
14253	backtransl_set1_09759_2	swap_46840_2	14254	1	en	1	1	1	1	1	1	1
14254	swap_21582_2	backtransl_set3_01191_2	14255	0	en	1	0	0	0	0	0	0
14255	backtransl_set1_02146_2	swap_27711_2	14256	1	en	1	1	1	1	1	1	1
14256	backtransl_set3_01845_2	swap_48971_2	14257	1	en	0	1	1	1	1	0	0
14257	swap_39488_2	backtransl_set1_14417_2	14258	1	en	1	1	1	1	1	1	1
14258	swap_08013_2	backtransl_set1_15219_2	14259	1	en	1	1	1	1	1	1	1
14259	backtransl_set1_15515_2	swap_09033_1	14260	1	en	1	1	1	1	1	1	1
14260	swap_35719_1	backtransl_set2_04547_2	14261	0	en	0	0	0	0	0	0	0
14261	swap_10230_2	backtransl_set1_00736_2	14262	0	en	0	0	0	0	0	0	0
14262	backtransl_set1_05314_2	swap_08266_2	14263	0	en	1	0	1	1	0	1	0
14263	backtransl_set1_03069_2	swap_21001_2	14264	0	en	0	0	1	0	0	0	0
14264	swap_47974_1	backtransl_set1_02040_2	14265	1	en	1	0	1	1	0	1	0
14265	swap_30754_2	backtransl_set1_12289_2	14266	0	en	1	1	1	1	1	1	1
14266	backtransl_set1_05733_2	swap_22679_2	14267	1	en	0	0	1	0	0	0	0
14267	backtransl_set2_04587_2	swap_34074_1	14268	1	en	1	1	1	1	1	1	1
14268	backtransl_set1_02482_2	backtransl_set1_12337_2	14269	0	en	0	0	1	0	0	0	0
14269	backtransl_set2_03587_2	backtransl_set2_00025_2	14270	0	en	0	0	0	0	0	0	0
14270	backtransl_set1_06850_2	swap_09923_1	14271	0	en	1	1	1	1	1	1	1
14271	backtransl_set2_01414_2	swap_18806_2	14272	1	en	1	1	1	1	1	1	1
14272	backtransl_set1_15511_2	backtransl_set1_04089_2	14273	1	en	1	1	1	1	1	1	1
14273	backtransl_set1_13488_2	swap_16044_1	14274	0	en	1	1	1	1	1	1	1
14274	backtransl_set1_10415_2	backtransl_set1_15088_2	14275	0	en	0	0	0	0	0	0	0
14275	swap_25218_1	backtransl_set1_08667_2	14276	1	en	1	1	1	1	1	1	1
14276	backtransl_set1_10054_2	swap_10560_2	14277	1	en	1	1	1	1	1	1	1
14277	backtransl_set1_06740_2	backtransl_set1_10744_2	14278	0	en	1	1	1	1	1	1	1
14278	backtransl_set2_04962_2	swap_37168_2	14279	0	en	1	0	1	1	0	1	0
14279	backtransl_set1_03641_2	swap_37971_2	14280	0	en	0	0	0	0	0	0	0
14280	backtransl_set2_03341_2	swap_03151_1	14281	1	en	1	1	1	1	1	1	1
14281	swap_46582_1	backtransl_set3_03698_2	14282	1	en	1	1	1	1	1	1	1
14282	backtransl_set1_12256_2	swap_48820_2	14283	1	en	1	1	1	1	1	1	1
14283	backtransl_set1_03188_2	swap_08595_2	14284	1	en	1	1	1	1	1	1	1
14284	swap_24010_2	backtransl_set2_00901_2	14285	1	en	1	1	1	1	1	1	1
14285	swap_00750_2	backtransl_set2_03320_2	14286	1	en	1	0	1	1	0	1	0
14286	swap_20096_2	backtransl_set3_02197_2	14287	1	en	1	1	1	1	1	1	1
14287	swap_07505_2	backtransl_set1_02484_2	14288	1	en	1	1	1	1	1	1	1
14288	backtransl_set3_02323_2	swap_28220_1	14289	0	en	0	0	1	0	0	0	0
14289	backtransl_set2_03659_2	swap_31580_1	14290	1	en	1	1	1	1	1	1	1
14290	swap_03594_2	backtransl_set3_02233_2	14291	1	en	1	1	1	1	1	1	1
14291	backtransl_set1_14043_2	swap_46076_1	14292	1	en	1	0	1	1	0	1	0
14292	swap_19482_1	backtransl_set1_06555_2	14293	0	en	0	0	0	0	0	0	0
14293	swap_11732_2	backtransl_set1_01691_2	14294	0	en	0	0	1	0	0	0	0
14294	swap_09573_2	backtransl_set1_13896_2	14295	0	en	1	0	1	1	0	1	0
14295	swap_35179_2	backtransl_set1_10089_2	14296	0	en	0	0	0	0	0	0	0
14296	backtransl_set3_01987_2	swap_11010_2	14297	0	en	0	0	0	0	0	0	0
14297	backtransl_set1_06904_2	swap_43169_2	14298	1	en	1	1	1	1	1	1	1
14298	backtransl_set1_04863_2	swap_24171_1	14299	1	en	1	1	1	1	1	1	1
14299	backtransl_set1_03768_2	swap_45582_2	14300	0	en	0	0	1	0	0	0	0
14300	backtransl_set1_11302_2	swap_29279_1	14301	0	en	1	1	1	1	1	1	1
14301	swap_11689_2	backtransl_set2_04994_2	14302	1	en	1	1	1	1	1	1	1
14302	backtransl_set1_04948_2	backtransl_set1_01184_2	14303	0	en	1	0	0	0	0	0	0
14303	backtransl_set3_05001_2	swap_22639_2	14304	1	en	1	1	1	1	1	1	1
14304	backtransl_set1_02422_2	swap_20894_1	14305	0	en	1	1	1	1	1	1	1
14305	backtransl_set2_03712_2	swap_29915_1	14306	1	en	1	1	1	1	1	1	1
14306	backtransl_set2_01609_2	swap_17642_2	14307	1	en	1	1	1	1	1	1	1
14307	backtransl_set1_09727_2	swap_36861_1	14308	1	en	1	1	1	1	1	1	1
14308	swap_20718_1	backtransl_set3_02562_2	14309	1	en	1	1	1	1	1	1	1
14309	backtransl_set3_05026_2	swap_28901_1	14310	1	en	1	1	1	1	1	1	1
14310	backtransl_set1_02186_2	swap_15350_1	14311	0	en	1	1	1	1	1	1	1
14311	swap_42788_1	backtransl_set1_07086_2	14312	1	en	0	0	0	0	0	0	0
14312	swap_49124_2	backtransl_set1_12917_2	14313	0	en	0	0	0	0	0	0	0
14313	backtransl_set2_03736_2	backtransl_set2_03254_2	14314	0	en	0	0	0	0	0	0	0
14314	backtransl_set2_01821_2	swap_24713_2	14315	0	en	1	1	1	1	1	1	1
14315	backtransl_set1_05245_2	swap_14642_1	14316	0	en	1	0	0	0	0	0	0
14316	swap_45472_2	backtransl_set3_02428_2	14317	1	en	1	1	1	1	1	1	1
14317	swap_15333_2	backtransl_set3_05075_2	14318	1	en	1	1	1	1	1	1	1
14318	backtransl_set2_01823_2	swap_23907_2	14319	1	en	1	1	1	1	1	1	1
14319	swap_13143_1	backtransl_set2_05088_2	14320	1	en	1	1	1	1	1	1	1
14320	swap_17502_2	backtransl_set1_01442_2	14321	1	en	0	0	0	0	0	0	0
14321	backtransl_set1_00373_2	swap_09782_1	14322	0	en	1	1	1	1	1	1	1
14322	swap_20806_1	backtransl_set1_00350_2	14323	0	en	1	0	1	1	0	1	0
14323	swap_23559_1	backtransl_set1_05031_2	14324	1	en	1	1	1	1	1	1	1
14324	swap_49388_1	backtransl_set1_14557_2	14325	1	en	1	0	1	1	0	1	0
14325	swap_20510_1	backtransl_set3_05105_2	14326	0	en	1	0	0	0	0	0	0
14326	swap_28609_1	backtransl_set1_03726_2	14327	1	en	0	0	0	0	0	0	0
14327	swap_16270_1	backtransl_set1_13867_2	14328	0	en	1	1	1	1	1	1	1
14328	backtransl_set1_12389_2	swap_35510_1	14329	1	en	1	1	1	1	1	1	1
14329	backtransl_set3_04695_2	backtransl_set3_04325_2	14330	0	en	0	1	1	1	1	0	0
